CLOSED
Version	0.4
Run	717
Instrument	2950 TGA       V5.4A
Module	TGA 1000 øC
Sample	CuSO4*5H2O standard slow
Size	8.07900	mg
Method	
Operator	AE
Comment	CuSO4*5H2O standard at 1C/min for calibration
Xcomment	Pan: Platinum           Gas1: Nitrogen  20          Gas2: Nitrogen  30
Text
Kcell	1.00000
TempCal	2	pts	24.15	22.00,	374.82	354.00
Thresholds	0.050	0.0000
Controls	Gas 1  Event Off  Sampling 2.0 sec/pt
Nsig	3
Sig1	Time (min)
Sig2	Temperature (øC)
Sig3	Weight (mg)
Date	21-May-19
Time	17:52
File	C:\TA\Data\TGA\Angela\Cannabinoids\CuSO4_5H2O_Ref_1C_min_052119.001
OrgFile	C:\TA\Data\TGA\Angela\Cannabinoids\CuSO4_5H2O_Ref_1C_min_052119.001
0.0000000 26.67344 8.078762
0.03266667 26.77004 8.078442
0.06600000 26.86344 8.077890
0.09933334 26.95210 8.077484
0.1326666 27.03727 8.077234
0.1660000 27.11846 8.077054
0.1995000 27.19559 8.076838
0.2328333 27.26966 8.076692
0.2661666 27.33830 8.076782
0.2995000 27.40494 8.076813
0.3336666 27.47068 8.076557
0.3675000 27.53256 8.076150
0.4008333 27.58957 8.075918
0.4343334 27.64396 8.075968
0.4676666 27.69516 8.075947
0.5010000 27.74412 8.075928
0.5343334 27.79138 8.075806
0.5676666 27.83534 8.075595
0.6010000 27.87760 8.075326
0.6343334 27.91642 8.075322
0.6676668 27.95320 8.075250
0.7010000 27.98947 8.075241
0.7343334 28.02301 8.075172
0.7676666 28.05440 8.074982
0.8010000 28.08570 8.075093
0.8343334 28.11436 8.075182
0.8675000 28.14088 8.075046
0.9008332 28.16715 8.074872
0.9341668 28.19128 8.074578
0.9676668 28.21443 8.074353
1.001000 28.23533 8.074340
1.034333 28.25591 8.074238
1.067666 28.27563 8.074226
1.101000 28.29387 8.074288
1.134334 28.31064 8.074212
1.167666 28.32648 8.074043
1.201000 28.34081 8.073811
1.234333 28.35396 8.073560
